Timestamp,Gender,Major,Current year of study, GPA range,Class attendance behavior,Major courses attendance,Elective courses attendance,Practical / applied courses attendance,General education courses attendance,Reasons for attending classes? ,Reasons for skipping classes,Attitude toward attending classes,Ways of compensation for the missed content? ,Effectiveness of alternative methods compared to attending classes,Effective learning methods for academic performance,Frequency of optional attendance ,Factors  influencing attendance,Relationship between class attendance and GPA 
2025/12/26 3:25:06 pm EET,Male,Data Science,First Year,90 - 100,I attend all or almost all classes,5,5,5,5,To improve understanding of course content;Attendance is mandatory according to faculty regulations;The instructor’s teaching approach enhances learning;Class participation contributes to academic evaluation;Opportunities for discussion and peer interaction;Access to explanations not available in course materials,Work-related commitments,1,Review lecture slides or PDF materials,More effective,A combination of in-person classes and other learning methods,1,"Practical application of course content (e.g., examples, case studies, problem-solving)","When I attend classes less frequently, my academic performance tends to be higher"
2025/12/26 5:29:06 pm EET,Female,Data Science,First Year,70 - 79,I attend all or almost all classes,5,5,5,5,To improve understanding of course content;Attendance is mandatory according to faculty regulations;Access to explanations not available in course materials,Course materials are sufficiently available online,3,"Watch educational videos (e.g., YouTube);Consult classmates’ notes",Equally effective,"Online learning resources (videos, platforms, AI tools, etc.)",2,"Practical application of course content (e.g., examples, case studies, problem-solving);Relevance of lectures to examinations and assessments",My level of class attendance does not appear to affect my academic performance
2025/12/29 10:34:20 pm EET,Female,Data Science,First Year,70 - 79,I attend about half of my classes,3,3,3,3,Attendance is mandatory according to faculty regulations;Opportunities for discussion and peer interaction;Access to explanations not available in course materials,"Work-related commitments;Internship, training, or practical obligations;Long commuting distance or transportation challenges;Course materials are sufficiently available online;Perceived limitations in teaching quality or delivery",3,"Review lecture slides or PDF materials;Watch educational videos (e.g., YouTube);Consult classmates’ notes;Use AI-based tools for learning support (e.g., ChatGPT)",Equally effective,Independent self-study,3,Quality and clarity of instruction during lectures;Opportunities for in-class discussion to better understand theoretical concepts;Ability to choose class schedules and/or instructors,My level of class attendance does not appear to affect my academic performance
2025/12/26 3:24:43 pm EET,Female,Data Science,First Year,60 - 69,I attend few classes,3,3,4,3,Attendance is mandatory according to faculty regulations;Opportunities for discussion and peer interaction;Access to explanations not available in course materials,Double Majoring,1,Review lecture slides or PDF materials,Equally effective,Independent self-study,1,None of these factors would influence my decision to attend classes,My level of class attendance does not appear to affect my academic performance
2025/12/26 3:22:38 pm EET,Female,Data Science,First Year,70 - 79,I attend all or almost all classes,5,5,5,5,To improve understanding of course content;Attendance is mandatory according to faculty regulations,Perceived limitations in teaching quality or delivery,4,"Watch educational videos (e.g., YouTube)",Equally effective,Independent self-study,3,Opportunities for in-class discussion to better understand theoretical concepts,My level of class attendance does not appear to affect my academic performance
2025/12/26 2:58:37 pm EET,Female,Information Management,First Year,70 - 79,I attend most classes,4,3,5,2,Attendance is mandatory according to faculty regulations;The instructor’s teaching approach enhances learning;Opportunities for discussion and peer interaction,Work-related commitments;Course materials are sufficiently available online,3,Consult classmates’ notes,More effective,A combination of in-person classes and other learning methods,2,"Opportunities for in-class discussion to better understand theoretical concepts;Practical application of course content (e.g., examples, case studies, problem-solving);Relevance of lectures to examinations and assessments","When I attend classes more frequently, my academic performance tends to be higher"
2025/12/26 3:24:02 pm EET,Female,Information Management,First Year,60 - 69,I attend most classes,3,3,3,2,Attendance is mandatory according to faculty regulations;Class participation contributes to academic evaluation,Work-related commitments;Long commuting distance or transportation challenges,3,"Consult classmates’ notes;Use AI-based tools for learning support (e.g., ChatGPT);Rely on explanations provided by classmates or peers",Equally effective,A combination of online learning and independent self-study,2,Ability to choose class schedules and/or instructors,My level of class attendance does not appear to affect my academic performance
2025/12/26 3:26:41 pm EET,Female,Information Management,First Year,80 - 89,I attend all or almost all classes,5,4,4,4,To improve understanding of course content;The instructor’s teaching approach enhances learning;Class participation contributes to academic evaluation;Opportunities for discussion and peer interaction,,4,Consult classmates’ notes,Less effective,In-person classroom instruction,4,"Quality and clarity of instruction during lectures;Opportunities for in-class discussion to better understand theoretical concepts;Practical application of course content (e.g., examples, case studies, problem-solving)","When I attend classes more frequently, my academic performance tends to be higher"
2025/12/29 4:49:43 pm EET,Female,Information Management,First Year,60 - 69,I attend most classes,3,1,2,3,To improve understanding of course content,Work-related commitments,3,Review lecture slides or PDF materials;Consult classmates’ notes,Equally effective,In-person classroom instruction,4,Quality and clarity of instruction during lectures;Opportunities for in-class discussion to better understand theoretical concepts,I am unable to determine a clear relationship based on my experience
2025/12/26 3:27:17 pm EET,Female,Information Management,First Year,70 - 79,I attend all or almost all classes,5,4,4,4,To improve understanding of course content;Attendance is mandatory according to faculty regulations;Class participation contributes to academic evaluation,Long commuting distance or transportation challenges,4,Review lecture slides or PDF materials;Rely on explanations provided by classmates or peers,Less effective,Independent self-study,3,Ability to choose class schedules and/or instructors,My level of class attendance does not appear to affect my academic performance
2025/12/26 3:21:16 pm EET,Female,Journalism,First Year,60 - 69,I attend most classes,4,3,2,2,To improve understanding of course content;Attendance is mandatory according to faculty regulations,Course materials are sufficiently available online;Low motivation or engagement with the course,3,Review lecture slides or PDF materials;Consult classmates’ notes;Rely on explanations provided by classmates or peers,Less effective,A combination of online learning and independent self-study,2,Ability to choose class schedules and/or instructors,My level of class attendance does not appear to affect my academic performance
2025/12/26 3:29:08 pm EET,Female,Journalism,First Year,60 - 69,I attend about half of my classes,5,3,4,4,To improve understanding of course content;Attendance is mandatory according to faculty regulations;Class participation contributes to academic evaluation,Work-related commitments;Long commuting distance or transportation challenges,1,"Consult classmates’ notes;Use AI-based tools for learning support (e.g., ChatGPT)",Less effective,In-person classroom instruction,3,Opportunities for in-class discussion to better understand theoretical concepts,"When I attend classes more frequently, my academic performance tends to be higher"
2025/12/26 3:50:02 pm EET,Female,Journalism,First Year,60 - 69,I attend most classes,3,3,2,2,To improve understanding of course content;The instructor’s teaching approach enhances learning,"Internship, training, or practical obligations",3,Review lecture slides or PDF materials,Equally effective,Independent self-study,3,Ability to choose class schedules and/or instructors,My level of class attendance does not appear to affect my academic performance
2025/12/26 3:41:48 pm EET,Female,Journalism,First Year,70 - 79,I attend all or almost all classes,4,3,4,5,To improve understanding of course content;The instructor’s teaching approach enhances learning,Long commuting distance or transportation challenges,5,Review lecture slides or PDF materials,Equally effective,A combination of in-person classes and other learning methods,4,"Quality and clarity of instruction during lectures;Practical application of course content (e.g., examples, case studies, problem-solving)",The relationship varies depending on the course
2025/12/26 3:16:26 pm EET,Female,Journalism,First Year,60 - 69,I attend all or almost all classes,3,3,3,3,To improve understanding of course content,Long commuting distance or transportation challenges,2,Review lecture slides or PDF materials,More effective,"Online learning resources (videos, platforms, AI tools, etc.)",5,"Practical application of course content (e.g., examples, case studies, problem-solving)","When I attend classes more frequently, my academic performance tends to be higher"
2025/12/29 9:22:07 pm EET,Male,Marketing and Advertising,First Year,70 - 79,I attend all or almost all classes,5,5,5,5,To improve understanding of course content;Class participation contributes to academic evaluation;Opportunities for discussion and peer interaction,,5,"Review lecture slides or PDF materials;Consult classmates’ notes;Use AI-based tools for learning support (e.g., ChatGPT);Rely on explanations provided by classmates or peers",Less effective,A combination of in-person classes and other learning methods,4,None of these factors would influence my decision to attend classes,"When I attend classes more frequently, my academic performance tends to be higher"
2025/12/26 6:14:18 pm EET,Female,Marketing and Advertising,First Year,80 - 89,I attend all or almost all classes,5,5,5,5,To improve understanding of course content;Class participation contributes to academic evaluation;Opportunities for discussion and peer interaction;Access to explanations not available in course materials,Long commuting distance or transportation challenges;Sickness,5,Review lecture slides or PDF materials;Consult classmates’ notes,Less effective,A combination of in-person classes and other learning methods,4,"Opportunities for in-class discussion to better understand theoretical concepts;Practical application of course content (e.g., examples, case studies, problem-solving);Ability to choose class schedules and/or instructors",My level of class attendance does not appear to affect my academic performance
2025/12/29 8:39:40 pm EET,Female,Marketing and Advertising,First Year,60 - 69,I attend about half of my classes,1,1,1,1,To improve understanding of course content,Long commuting distance or transportation challenges,3,Review lecture slides or PDF materials,Less effective,A combination of online learning and independent self-study,2,Quality and clarity of instruction during lectures,The relationship varies depending on the course
2025/12/26 5:07:14 pm EET,Female,Marketing and Advertising,First Year,70 - 79,I attend all or almost all classes,4,5,5,4,To improve understanding of course content;Attendance is mandatory according to faculty regulations;The instructor’s teaching approach enhances learning;Class participation contributes to academic evaluation;Opportunities for discussion and peer interaction,Long commuting distance or transportation challenges;Perceived limitations in teaching quality or delivery,5,"Review lecture slides or PDF materials;Consult classmates’ notes;Use AI-based tools for learning support (e.g., ChatGPT)",Less effective,A combination of in-person classes and other learning methods,5,Quality and clarity of instruction during lectures;Opportunities for in-class discussion to better understand theoretical concepts;Relevance of lectures to examinations and assessments,"When I attend classes more frequently, my academic performance tends to be higher"
2025/12/27 2:48:22 am EET,Female,Marketing and Advertising,First Year,60 - 69,I attend most classes,4,2,2,4,Opportunities for discussion and peer interaction;Access to explanations not available in course materials,"Internship, training, or practical obligations",3,Review lecture slides or PDF materials,Less effective,Independent self-study,5,Ability to choose class schedules and/or instructors,"When I attend classes more frequently, my academic performance tends to be higher"
2025/12/26 4:32:56 pm EET,Male,Public Relations,First Year,60 - 69,I attend all or almost all classes,5,5,5,5,To improve understanding of course content;The instructor’s teaching approach enhances learning;Class participation contributes to academic evaluation;Opportunities for discussion and peer interaction;Access to explanations not available in course materials,Long commuting distance or transportation challenges,5,"Review lecture slides or PDF materials;Watch educational videos (e.g., YouTube);Consult classmates’ notes;Watch recorded lectures, if available;Rely on explanations provided by classmates or peers",Less effective,In-person classroom instruction,5,None of these factors would influence my decision to attend classes,"When I attend classes more frequently, my academic performance tends to be higher"
2025/12/26 7:55:36 pm EET,Male,Public Relations,First Year,60 - 69,I attend most classes,4,4,4,4,Attendance is mandatory according to faculty regulations;,,3,Review lecture slides or PDF materials,Equally effective,A combination of in-person classes and other learning methods,3,None of these factors would influence my decision to attend classes,The relationship varies depending on the course
2025/12/30 12:02:45 pm EET,Female,Public Relations,First Year,80 - 89,I attend all or almost all classes,5,5,5,5,To improve understanding of course content;Attendance is mandatory according to faculty regulations;Class participation contributes to academic evaluation,Attend them all ,5,"Review lecture slides or PDF materials;Watch educational videos (e.g., YouTube);Consult classmates’ notes",More effective,A combination of online learning and independent self-study,5,Quality and clarity of instruction during lectures;Opportunities for in-class discussion to better understand theoretical concepts,"When I attend classes more frequently, my academic performance tends to be higher"
2025/12/29 9:24:23 pm EET,Female,Public Relations,First Year,60 - 69,I attend all or almost all classes,5,4,4,5,To improve understanding of course content;Class participation contributes to academic evaluation,Low motivation or engagement with the course,3,Review lecture slides or PDF materials;Consult classmates’ notes,More effective,In-person classroom instruction,4,None of these factors would influence my decision to attend classes,"When I attend classes more frequently, my academic performance tends to be higher"
2025/12/26 3:41:52 pm EET,Female,Public Relations,First Year,60 - 69,I attend all or almost all classes,5,5,2,3,To improve understanding of course content;Class participation contributes to academic evaluation;Opportunities for discussion and peer interaction,Low motivation or engagement with the course,4,"Review lecture slides or PDF materials;Watch educational videos (e.g., YouTube);Consult classmates’ notes;Use AI-based tools for learning support (e.g., ChatGPT);Rely on explanations provided by classmates or peers",Less effective,In-person classroom instruction,4,Quality and clarity of instruction during lectures;Opportunities for in-class discussion to better understand theoretical concepts,The relationship varies depending on the course
2025/12/29 8:39:48 pm EET,Male,Information Management,Master 1 (M1),60 - 69,I attend about half of my classes,4,3,5,3,To improve understanding of course content;Class participation contributes to academic evaluation,Work-related commitments,3,"Review lecture slides or PDF materials;Use AI-based tools for learning support (e.g., ChatGPT)",Equally effective,"Online learning resources (videos, platforms, AI tools, etc.)",3,"Practical application of course content (e.g., examples, case studies, problem-solving);Ability to choose class schedules and/or instructors","When I attend classes less frequently, my academic performance tends to be higher"
2025/12/26 3:21:44 pm EET,Female,Information Management,Master 1 (M1),60 - 69,I attend most classes,4,4,4,4,To improve understanding of course content;The instructor’s teaching approach enhances learning;Opportunities for discussion and peer interaction,Work-related commitments,5,"Review lecture slides or PDF materials;Use AI-based tools for learning support (e.g., ChatGPT)",Equally effective,A combination of online learning and independent self-study,4,Quality and clarity of instruction during lectures,My level of class attendance does not appear to affect my academic performance
2025/12/28 10:08:48 am EET,Male,Journalism,Master 1 (M1),80 - 89,I attend all or almost all classes,5,5,5,5,Attendance is mandatory according to faculty regulations,Work-related commitments,3,I usually do not compensate for missed classes,Less effective,A combination of online learning and independent self-study,1,all,My level of class attendance does not appear to affect my academic performance
2025/12/29 8:41:22 pm EET,Female,Marketing and Advertising,Master 1 (M1),70 - 79,I attend all or almost all classes,5,5,5,5,To improve understanding of course content;Attendance is mandatory according to faculty regulations;Class participation contributes to academic evaluation,Work-related commitments,5,Review lecture slides or PDF materials;Consult classmates’ notes,Less effective,In-person classroom instruction,5,Quality and clarity of instruction during lectures;Opportunities for in-class discussion to better understand theoretical concepts,"When I attend classes more frequently, my academic performance tends to be higher"
2025/12/30 1:07:41 pm EET,Female,Marketing and Advertising,Master 1 (M1),70 - 79,I attend most classes,5,4,4,4,To improve understanding of course content,"Internship, training, or practical obligations",4,Review lecture slides or PDF materials,Equally effective,A combination of online learning and independent self-study,3,Quality and clarity of instruction during lectures,The relationship varies depending on the course
2025/12/29 8:49:17 pm EET,Female,Marketing and Advertising,Master 1 (M1),60 - 69,I attend all or almost all classes,5,4,5,4,To improve understanding of course content;Attendance is mandatory according to faculty regulations;Opportunities for discussion and peer interaction,Work-related commitments,5,"Use AI-based tools for learning support (e.g., ChatGPT)",Equally effective,A combination of online learning and independent self-study,3,"Practical application of course content (e.g., examples, case studies, problem-solving)",The relationship varies depending on the course
2025/12/26 3:28:45 pm EET,Female,Public Relations,Master 1 (M1),60 - 69,I attend most classes,4,4,4,4,To improve understanding of course content;Attendance is mandatory according to faculty regulations;The instructor’s teaching approach enhances learning;Access to explanations not available in course materials,Long commuting distance or transportation challenges,5,Consult classmates’ notes,Less effective,A combination of in-person classes and other learning methods,5,"Quality and clarity of instruction during lectures;Opportunities for in-class discussion to better understand theoretical concepts;Practical application of course content (e.g., examples, case studies, problem-solving);Relevance of lectures to examinations and assessments","When I attend classes more frequently, my academic performance tends to be higher"
2025/12/27 9:08:33 pm EET,Female,Public Relations,Master 1 (M1),80 - 89,I attend most classes,4,4,4,3,To improve understanding of course content;Attendance is mandatory according to faculty regulations;The instructor’s teaching approach enhances learning;Class participation contributes to academic evaluation;Opportunities for discussion and peer interaction;Access to explanations not available in course materials,"Internship, training, or practical obligations;Long commuting distance or transportation challenges",4,"Consult classmates’ notes;Use AI-based tools for learning support (e.g., ChatGPT);Watch recorded lectures, if available;Rely on explanations provided by classmates or peers",Less effective,In-person classroom instruction,4,"Quality and clarity of instruction during lectures;Opportunities for in-class discussion to better understand theoretical concepts;Practical application of course content (e.g., examples, case studies, problem-solving);Relevance of lectures to examinations and assessments;Ability to choose class schedules and/or instructors",The relationship varies depending on the course
2025/12/26 3:30:15 pm EET,Female,Data Science,Second Year,60 - 69,I attend all or almost all classes,5,2,3,2,To improve understanding of course content;Attendance is mandatory according to faculty regulations;Opportunities for discussion and peer interaction,"Internship, training, or practical obligations;Its not important for my major",3,"Review lecture slides or PDF materials;Watch educational videos (e.g., YouTube);Use AI-based tools for learning support (e.g., ChatGPT)",Equally effective,In-person classroom instruction,5,"Quality and clarity of instruction during lectures;Practical application of course content (e.g., examples, case studies, problem-solving);Ability to choose class schedules and/or instructors",I am unable to determine a clear relationship based on my experience
2025/12/26 3:25:47 pm EET,Female,Data Science,Second Year,60 - 69,I attend most classes,5,5,4,4,Attendance is mandatory according to faculty regulations,Long commuting distance or transportation challenges,4,Review lecture slides or PDF materials;Consult classmates’ notes,Equally effective,Independent self-study,3,Ability to choose class schedules and/or instructors,My level of class attendance does not appear to affect my academic performance
2025/12/26 3:16:42 pm EET,Female,Data Science,Second Year,60 - 69,I attend all or almost all classes,4,5,2,2,To improve understanding of course content;Attendance is mandatory according to faculty regulations,"Work-related commitments;Internship, training, or practical obligations",4,"Review lecture slides or PDF materials;Watch educational videos (e.g., YouTube);Use AI-based tools for learning support (e.g., ChatGPT)",Equally effective,In-person classroom instruction,3,"Opportunities for in-class discussion to better understand theoretical concepts;Practical application of course content (e.g., examples, case studies, problem-solving)",My level of class attendance does not appear to affect my academic performance
2025/12/27 12:02:58 pm EET,Female,Data Science,Second Year,70 - 79,I rarely or never attend classes,2,2,1,1,Attendance is mandatory according to faculty regulations,I’m double majoring,5,"Review lecture slides or PDF materials;Watch educational videos (e.g., YouTube);Consult classmates’ notes;Use AI-based tools for learning support (e.g., ChatGPT)",More effective,"Online learning resources (videos, platforms, AI tools, etc.)",3,Opportunities for in-class discussion to better understand theoretical concepts,The relationship varies depending on the course
2025/12/28 8:23:50 pm EET,Female,Data Science,Second Year,70 - 79,I attend few classes,3,2,2,2,To improve understanding of course content;Attendance is mandatory according to faculty regulations,Long commuting distance or transportation challenges;Course materials are sufficiently available online;Perceived limitations in teaching quality or delivery,2,"Watch educational videos (e.g., YouTube);Use AI-based tools for learning support (e.g., ChatGPT)",More effective,A combination of online learning and independent self-study,2,"Quality and clarity of instruction during lectures;Practical application of course content (e.g., examples, case studies, problem-solving);How much the lecturer is serious and passionate about the material and delivering it ",The relationship varies depending on the course
2025/12/26 4:18:09 pm EET,Male,Information Management,Second Year,70 - 79,I attend most classes,5,5,5,5,To improve understanding of course content;Attendance is mandatory according to faculty regulations;The instructor’s teaching approach enhances learning,"Internship, training, or practical obligations",4,Consult classmates’ notes,Less effective,In-person classroom instruction,5,"Quality and clarity of instruction during lectures;Opportunities for in-class discussion to better understand theoretical concepts;Practical application of course content (e.g., examples, case studies, problem-solving)","When I attend classes more frequently, my academic performance tends to be higher"
2025/12/26 3:22:14 pm EET,Female,Information Management,Second Year,60 - 69,I attend about half of my classes,3,3,3,3,Attendance is mandatory according to faculty regulations,"Work-related commitments;Internship, training, or practical obligations;Long commuting distance or transportation challenges",2,Review lecture slides or PDF materials,More effective,"Online learning resources (videos, platforms, AI tools, etc.)",2,"Practical application of course content (e.g., examples, case studies, problem-solving)",The relationship varies depending on the course
2025/12/26 4:04:27 pm EET,Female,Information Management,Second Year,60 - 69,I attend all or almost all classes,3,1,4,3,To improve understanding of course content,Perceived limitations in teaching quality or delivery,4,Review lecture slides or PDF materials,Less effective,In-person classroom instruction,5,Quality and clarity of instruction during lectures,"When I attend classes more frequently, my academic performance tends to be higher"
2025/12/30 2:44:35 pm EET,Male,Journalism,Second Year,60 - 69,I attend most classes,4,4,4,4,Attendance is mandatory according to faculty regulations,"Internship, training, or practical obligations",4,Consult classmates’ notes,Equally effective,In-person classroom instruction,3,Ability to choose class schedules and/or instructors,My level of class attendance does not appear to affect my academic performance
